Type,FiscalYear,OperationID,StartDate1,EndDate1,StartDate2,EndDate2,InProgressDate,Cost,CostCalculated,ApproxPageNumber,Appendix,Offset,FileVolume,FilePart
Operation,1908,14619102803979235,,,,,,,no,1006,Yes,3528644,,I
Operation,1908,14619102803979238,,,,,,,no,1006,Yes,3528685,,I
Operation,1908,14619102803978819,,,,,,,no,245,No,847578,,I
Operation,1908,14619102803979240,,,,,,,no,1006,Yes,3528843,,I
Operation,1908,14619102803978812,,,,,,,no,241,No,836081,,I
Operation,1908,14619102803979226,"December 26, 1907","December 26, 1907",,,,,no,1004,Yes,3518256,,I
Operation,1908,14619102803979228,,,,,,,no,1004,Yes,3518591,,I
Operation,1908,14619102803978809,,,,,,,no,241,No,835950,,I
Operation,1908,14619102803979230,,,,,,,no,1004,Yes,3519591,,I
Operation,1908,14619102803979233,,,,,,,no,1004,Yes,3520133,,I
Operation,1908,14619102803978837,,,,,,,no,252,No,874871,,I
Operation,1908,14619102803979251,,,,,,,no,1027,Yes,3618839,,I
Operation,1908,14619102803979253,,,,,,,no,1027,Yes,3619208,,I
Operation,1908,14619102803978833,,,,,,,no,251,No,870426,,I
Operation,1908,14619102803979255,,,,,,,no,2-11,Yes,3664880,,I
Operation,1908,14619102803979257,,,,,,,no,1041,Yes,3670048,,I
Operation,1908,14619102803979243,,,,,,,no,1008,Yes,3534337,,I
Operation,1908,14619102803979245,,,,,,,no,1018,Yes,3575480,,I
Operation,1908,14619102803979247,,,,,,,no,1063,Yes,3601068,,I
Operation,1908,14619102803979249,,,,,,,no,1025,Yes,3610926,,I
Operation,1908,14619102803978853,,,,,,,no,258,No,894540,,I
Operation,1908,14619102803978855,,,,,,,no,277,No,956880,,I
Operation,1908,14619102803979204,,,,,,,no,993,Yes,3487381,,I
Operation,1908,14619102803978849,,,,,,,no,257,No,889993,,I
Operation,1908,14619102803979206,"June 17, 1908","June 17, 1908",,,,,no,993,Yes,3487878,,I
Operation,1908,14619102803979209,,,,,,,no,994,Yes,3489751,,I
Operation,1908,14619102803979195,,,,,,,no,988,Yes,3471592,,I
Operation,1908,14619102803979197,,,,,,,no,,Yes,3476027,,I
Operation,1908,14619102803978841,,,,,,,no,254,No,879519,,I
Operation,1908,14619102803979199,,,,,,,no,992,Yes,3483940,,I
Operation,1908,14619102803979201,"July 31, 1907","September 19, 1907",,,,,no,992,Yes,3484294,,I
Operation,1908,14619102803978842,,,,,,,no,254,No,879550,,I
Operation,1908,14619102803979220,,"November 1, 1907",,,,,no,1000,Yes,3506673,,I
Operation,1908,14619102803979222,,,,,,,no,,Yes,3509333,,I
Operation,1908,14619102803979224,,,,,,,no,1003,Yes,3516606,,I
Operation,1908,14619102803979211,,,,,,,no,998,Yes,3496594,,I
Operation,1908,14619102803979213,,,,,,,no,998,Yes,3496711,,I
Operation,1908,14619102803979215,,,,,,,no,998,Yes,3496898,,I
Operation,1908,14619102803979217,,,,,,,no,998,Yes,3497022,,I
Operation,1908,14619102803979298,,,,,,,no,1075,Yes,3797012,,I
Operation,1908,14619102803979300,,,,,,,no,1075,Yes,3797216,,I
Operation,1908,14619102803979302,,,,,,,no,1075,Yes,3798728,,I
Operation,1908,14619102803979304,,,,,,,no,1077,Yes,3806312,,I
Operation,1908,14619102803979290,,,,,,,no,1074,Yes,3795149,,I
Operation,1908,14619102803979292,,,,,,,no,1074,Yes,3795693,,I
Operation,1908,14619102803979294,,,,,,,no,1074,Yes,3796035,,I
Operation,1908,14619102803979296,,,,,,,no,1074,Yes,3796748,,I
Operation,1908,14619102803979314,,,,,,,no,1083,Yes,3833728,,I
Operation,1908,14619102803979316,,,,,,,no,1087,Yes,3847698,,I
Operation,1908,14619102803979318,,,,,,,no,1088,Yes,3848159,,I
Operation,1908,14619102803979320,,,,,,,no,1088,Yes,3848563,,I
Operation,1908,14619102803979306,"September, 1905","September, 1905",,,,,no,1077,Yes,3807807,,I
Operation,1908,14619102803979308,,,,,,,no,1081,Yes,3826534,,I
Operation,1908,14619102803979310,,,,,,,no,1081,Yes,3826938,,I
Operation,1908,14619102803979312,,,,,,,no,1081,Yes,3827440,,I
Operation,1908,14619102803979267,,,,,,,no,1055,Yes,3728451,,I
Operation,1908,14619102803979269,,,,,,,no,1061,Yes,3756962,,I
Operation,1908,14619102803979271,,,,,,,no,1061,Yes,3757296,,I
Operation,1908,14619102803979273,"April 15, 1908",,,,,,no,1062,Yes,3760597,,I
Operation,1908,14619102803979259,,,,,,,no,1043,Yes,3677290,,I
Operation,1908,14619102803979261,"April 9, 1908","April 9, 1908",,,,,no,1046,Yes,3686286,,I
Operation,1908,14619102803979263,,,,,,,no,1050,Yes,3708475,,I
Operation,1908,14619102803978779,,,,,,,no,161,No,554998,,I
Operation,1908,14619102803979265,,"October 31, 1906",,,,,no,1054,Yes,3724250,,I
Operation,1908,14619102803979282,,,,,,,no,1067,Yes,3777757,,I
Operation,1908,14619102803979284,"August 16, 1907",,,,,,no,1068,Yes,3782082,,I
Operation,1908,14619102803979286,,,,,,,no,1074,Yes,3793753,,I
Operation,1908,14619102803979288,,,,,,,no,1074,Yes,3794788,,I
Operation,1908,14619102803979275,,,,,,,no,1062,Yes,3760808,,I
Operation,1908,14619102803979277,,,,,,,no,1065,Yes,3769867,,I
Operation,1908,14619102803979279,,,,,,,no,1067,Yes,3777571,,I
Operation,1908,14619102803979107,,,,,,,no,929,Yes,3219983,,I
Operation,1908,14619102803979109,,,,,,,no,925,Yes,3220803,,I
Operation,1908,14619102803979111,,,,,,,no,925,Yes,3221036,,I
Operation,1908,14619102803979113,,,,,,,no,925,Yes,3221235,,I
Operation,1908,14619102803979098,,,,,,,no,881,No,3090732,,I
Operation,1908,14619102803979100,,,,,,,no,881,No,3090777,,I
Operation,1908,14619102803979102,,,,,,,no,922,Yes,3214544,,I
Operation,1908,14619102803979105,"October 17, 1907",,,"June 30, 1908",,,no,922,Yes,3214803,,I
Operation,1908,14619102803978938,,,,,,,no,478,No,1668237,,I
Operation,1908,14619102803979123,,,,,,,no,932,Yes,3248960,,I
Operation,1908,14619102803979125,,,,,,,no,932,Yes,3249590,,I
Operation,1908,14619102803979127,,,,,,,no,933,Yes,3252085,,I
Operation,1908,14619102803979115,,,,,,,no,925,Yes,3221316,,I
Operation,1908,14619102803979117,"July, 1907","July, 1907",,,,,no,929,Yes,3239806,,I
Operation,1908,14619102803979119,,,,,,,no,931,Yes,3243766,,I
Operation,1908,14619102803979121,,,,,,,no,932,Yes,3248661,,I
Operation,1908,14619102803978954,,,,,,,no,573,No,2003822,,I
Operation,1908,14619102803978982,,,,,,,no,632,No,2210129,,I
Operation,1908,14619102803979076,,,,,,,no,812,No,2842698,,I
Operation,1908,14619102803979080,,,,,,,no,816,No,2860321,,I
Operation,1908,14619102803979066,,,,,,,no,793,No,2772071,,I
Operation,1908,14619102803979068,,,,,,,no,801,No,2799794,,I
Operation,1908,14619102803979070,October 19,March 15,,,,,no,810,No,2835391,,I
Operation,1908,14619102803979072,,,,,,,no,812,No,2842588,,I
Operation,1908,14619102803979090,,,,,,,no,846,No,2973651,,I
Operation,1908,14619102803979092,"October, 1906","October, 1906",,,,,no,854,No,2998784,,I
Operation,1908,14619102803979094,,,,,,,no,879,No,3086129,,I
Operation,1908,14619102803979096,,,,,,,no,880,No,3088839,,I
Operation,1908,14619102803979082,,,,,,,no,821,No,2876774,,I
Operation,1908,14619102803979084,,,,,,,no,821,No,2876843,,I
Operation,1908,14619102803979086,"December 16, 1907",,,,,,no,834,No,2930144,,I
Operation,1908,14619102803979088,,,,,,,no,849,No,2965459,,I
Operation,1908,14619102803979170,,,,,,,no,961,Yes,3364019,,I
Operation,1908,14619102803979172,,,,,,,no,961,Yes,3364166,,I
Operation,1908,14619102803979174,,"April 20, 1908",,,,,no,961,Yes,3364296,,I
Operation,1908,14619102803979176,,,,,,,no,972,Yes,3403570,,I
Operation,1908,14619102803979162,,,,,,,no,955,Yes,3334751,,I
Operation,1908,14619102803979164,,,,,,,no,955,Yes,3335200,,I
Operation,1908,14619102803979166,"October 1, 1907",,,"December 31, 1911",,,no,955,Yes,3335626,,I
Operation,1908,14619102803979168,,,,,,,no,956,Yes,3337077,,I
Operation,1908,14619102803979186,"February 1, 1908","March 6, 1908",,,,,no,976,Yes,3425074,,I
Operation,1908,14619102803979189,,,,,,,no,983,Yes,3453892,,I
Operation,1908,14619102803979191,,,,,,,no,984,Yes,3454516,,I
Operation,1908,14619102803979193,,,,,,,no,,Yes,3468534,,I
Operation,1908,14619102803979179,,,,,,,no,972,Yes,3403755,,I
Operation,1908,14619102803978894,,,,,,,no,421,No,1460123,,I
Operation,1908,14619102803979182,"February 5, 1908","April 6, 1908",,,,,no,95,Yes,3418589,,I
Operation,1908,14619102803979184,,,,,,,no,95,Yes,3420549,,I
Operation,1908,14619102803979139,"August 20, 1907","November 18, 1907",,,,,no,947,Yes,3297859,,I
Operation,1908,14619102803978916,,,,,,,no,,No,1528774,,I
Operation,1908,14619102803979141,,,,,,,no,948,Yes,3303051,,I
Operation,1908,14619102803978918,,,,,,,no,140,No,1530580,,I
Operation,1908,14619102803978913,,,,,,,no,,No,1528634,,I
Operation,1908,14619102803979143,"June 29, 1905","June 12, 1908",,,,,no,948,Yes,3303350,,I
Operation,1908,14619102803978909,,,,,,,no,,No,1528082,,I
Operation,1908,14619102803979131,"September, 1907","September, 1907",,,,,no,936,Yes,3262459,,I
Operation,1908,14619102803979133,,,,,,,no,936,Yes,3263971,,I
Operation,1908,14619102803979135,"July 2, 1907","December 2, 1907",,,,,no,943,Yes,3280039,,I
Operation,1908,14619102803978904,,,,,,,no,,No,1527626,,I
Operation,1908,14619102803979137,,,,,,,no,944,Yes,3285619,,I
Operation,1908,14619102803978906,,,,,,,no,,No,1527991,,I
Operation,1908,14619102803979154,"August 6, 1907",,,,,,no,,Yes,3326555,,I
Operation,1908,14619102803979156,"July 1, 1907","November 9, 1907",,,,,no,,Yes,3327619,,I
Operation,1908,14619102803979158,,,,,,,no,955,Yes,3333918,,I
Operation,1908,14619102803979160,,,,,,,no,955,Yes,3334343,,I
Operation,1908,14619102803979146,"May 25, 1908","June 30, 1908",,,,,no,950,Yes,3308614,,I
Operation,1908,14619102803979148,"November 16, 1907","January 28, 1908",,,,,no,950,Yes,3310333,,I
Operation,1908,14619102803979150,,,,,,,no,,Yes,3326215,,I
Operation,1908,14619102803979152,,,,,,,no,,Yes,3326449,,I
Operation,1908,14619102803979490,"July 29, 1907",,,,,,no,1188,Yes,4242198,,I
Operation,1908,14619102803979492,,,,,,,no,1188,Yes,4242580,,I
Operation,1908,14619102803979585,,,,,,,no,1215,Yes,4355042,,I
Operation,1908,14619102803979494,"July 29, 1907",,,,,,no,1188,Yes,4244369,,I
Operation,1908,14619102803979496,"December 16, 1907","March 12, 1908",,,,,no,1189,Yes,4247309,,I
Operation,1908,14619102803979581,,,,,,,no,1215,Yes,4354167,,I
Operation,1908,14619102803979482,"July 22, 1907","March 13, 1908",,,,,no,,Yes,4226903,,I
Operation,1908,14619102803979583,,,,,,,no,1215,Yes,4354895,,I
Operation,1908,14619102803979484,"July 29, 1907",,,,,,no,,Yes,4229252,,I
Operation,1908,14619102803979577,,,,,,,no,1215,Yes,4353623,,I
Operation,1908,14619102803979486,"July 29, 1907",,,,,,no,1186,Yes,4235049,,I
Operation,1908,14619102803979579,,,,,,,no,1215,Yes,4353982,,I
Operation,1908,14619102803979488,"June 16, 1908",,,,,,no,1187,Yes,4240040,,I
Operation,1908,14619102803979507,"July 29, 1907",,,,,,no,1192,Yes,4258082,,I
Operation,1908,14619102803979604,,,,,,,no,1226,Yes,4398293,,I
Operation,1908,14619102803979607,,,,,,,no,1226,Yes,4398722,,I
Operation,1908,14619102803979509,January 2,,,,,,no,1192,Yes,4260820,,I
Operation,1908,14619102803979606,,,,,,,no,1226,Yes,4398687,,I
Operation,1908,14619102803979512,"July 29, 1907",,,,,,no,1198,Yes,4263771,,I
Operation,1908,14619102803979498,"July 29, 1907",,,,,,no,1190,Yes,4249179,,I
Operation,1908,14619102803979599,,,,,,,no,1226,Yes,4397154,,I
Operation,1908,14619102803979500,,,,,,,no,1190,Yes,4251393,,I
Operation,1908,14619102803979503,"July 29, 1907",,,,,,no,,Yes,4253646,,I
Operation,1908,14619102803979505,"November 20, 1907","December 10, 1907",,,,,no,,Yes,4256040,,I
Operation,1908,14619102803979458,"January 31, 1908","March 10, 1908",,,,,no,1180,Yes,4205720,,I
Operation,1908,14619102803979623,,,,,,,no,1239,Yes,4450255,,I
Operation,1908,14619102803979461,"January 31, 1908","March 2, 1908",,,,,no,1180,Yes,4206008,,I
Operation,1908,14619102803979617,,,,,,,no,1238,Yes,4429050,,I
Operation,1908,14619102803979463,,,,,,,no,1180,Yes,4206084,,I
Operation,1908,14619102803979619,,,,,,,no,1237,Yes,4441564,,I
Operation,1908,14619102803979465,"August 7, 1905","July 30, 1907",,,,,no,1181,Yes,4211136,,I
Operation,1908,14619102803979450,,,,,,,no,1173,Yes,4187399,,I
Operation,1908,14619102803979454,,,,,,,no,1176,Yes,4198664,,I
Operation,1908,14619102803979611,,,,,,,no,1230,Yes,4415673,,I
Operation,1908,14619102803979456,,,,,,,no,1180,Yes,4205309,,I
Operation,1908,14619102803979474,"September 17, 1907","September 30, 1907",,,,,no,1183,Yes,4222277,,I
Operation,1908,14619102803979476,"August 1, 1907",,,,,,no,1183,Yes,4223815,,I
Operation,1908,14619102803979478,August 30,Sep,,,,,no,1184,Yes,4224968,,I
Operation,1908,14619102803979480,"August 1, 1907",,,,,,no,1184,Yes,4226201,,I
Operation,1908,14619102803979467,"July 5, 1905",,,,,,no,1181,Yes,4211400,,I
Operation,1908,14619102803979470,"July 31, 1907",,,,,,no,1181,Yes,4211804,,I
Operation,1908,14619102803979554,,,,,,,no,1208,Yes,4324027,,I
Operation,1908,14619102803979556,,,,,,,no,1208,Yes,4324081,,I
Operation,1908,14619102803979558,,,,,,,no,1208,Yes,4324261,,I
Operation,1908,14619102803979560,,,,,,,no,1208,Yes,4324547,,I
Operation,1908,14619102803979547,,,,,,,no,1206,Yes,4317365,,I
Operation,1908,14619102803979550,,,,,,,no,1206,Yes,4318451,,I
Operation,1908,14619102803979552,,,,,,,no,1208,Yes,4322667,,I
Operation,1908,14619102803979571,,,,,,,no,1213,Yes,4349207,,I
Operation,1908,14619102803979574,,,,,,,no,1215,Yes,4353019,,I
Operation,1908,14619102803979576,,,,,,,no,1215,Yes,4353811,,I
Operation,1908,14619102803979563,,,,,,,no,1213,Yes,4348318,,I
Operation,1908,14619102803979565,"August 19, 1907","January 7, 1908",,,,,no,1213,Yes,4348592,,I
Operation,1908,14619102803979567,"November 19, 1907","January 17, 1908",,,,,no,1213,Yes,4348850,,I
Operation,1908,14619102803979569,,,,,,,no,1213,Yes,4349083,,I
Operation,1908,14619102803979557,,,,,,,no,1208,Yes,4324089,,I
Operation,1908,14619102803979522,"August 12, 1907","December 4, 1907",,,,,no,1196,Yes,4278132,,I
Operation,1908,14619102803979524,"July 29, 1907",,,,,,no,1197,Yes,4280137,,I
Operation,1908,14619102803979526,"April 17, 1908",,,June 30,,,no,1197,Yes,4282825,,I
Operation,1908,14619102803979528,"July 29, 1907",,,,,,no,1198,Yes,4284689,,I
Operation,1908,14619102803979548,,,,,,,no,1206,Yes,4317323,,I
Operation,1908,14619102803979514,,,,,,,no,1194,Yes,4267065,,I
Operation,1908,14619102803979516,"July 29, 1907",,,,,,no,1194,Yes,4269658,,I
Operation,1908,14619102803979518,"June 8, 1908","June 16, 1908",,,,,no,,Yes,4272654,,I
Operation,1908,14619102803979520,"July 29, 1907",,,,,,no,,Yes,4274736,,I
Operation,1908,14619102803979539,,,,,,,no,1201,Yes,4295853,,I
Operation,1908,14619102803979541,April 17,,,,,,no,202,Yes,4302789,,I
Operation,1908,14619102803979543,"July 29, 1907",,,,,,no,,Yes,4306415,,I
Operation,1908,14619102803979545,"July 29, 1907",,,,,,no,1204,Yes,4310800,,I
Operation,1908,14619102803979530,,,,,,,no,1198,Yes,4285500,,I
Operation,1908,14619102803979533,"July 29, 1907",,,,,,no,1199,Yes,4287924,,I
Operation,1908,14619102803979561,,,,,,,no,1208,Yes,4324566,,I
Operation,1908,14619102803979535,"May 8, 1908","May 20, 1908",,,,,no,1199,Yes,4290846,,I
Operation,1908,14619102803979537,"July 29, 1907",,,,,,no,1200,Yes,4292762,,I
Operation,1908,14619102803979562,,,,,,,no,1208,Yes,4324661,,I
Operation,1908,14619102803979362,,,,,,,no,,Yes,3932073,,I
Operation,1908,14619102803979364,,,,,,,no,1106,Yes,3937274,,I
Operation,1908,14619102803979366,,,,,,,no,1106,Yes,3937348,,I
Operation,1908,14619102803979368,,,,,,,no,1107,Yes,3941432,,I
Operation,1908,14619102803979354,,,,,,,no,,Yes,3922349,,I
Operation,1908,14619102803979356,"June 27, 1908",,,,,,no,,Yes,3922557,,I
Operation,1908,14619102803979358,,,,,,,no,,Yes,3926151,,I
Operation,1908,14619102803979360,"May 15, 1908","May 15, 1908",,,,,no,,Yes,3928960,,I
Operation,1908,14619102803979378,,,,,,,no,1110,Yes,3952055,,I
Operation,1908,14619102803979380,,,,,,,no,1110,Yes,3952387,,I
Operation,1908,14619102803979382,,,,,,,no,1111,Yes,3959158,,I
Operation,1908,14619102803979384,,,,,,,no,1112,Yes,3963653,,I
Operation,1908,14619102803979370,,,,,,,no,1108,Yes,3945529,,I
Operation,1908,14619102803979372,September 12,,,,,,no,1108,Yes,3945964,,I
Operation,1908,14619102803979374,December 2,December 5,,,,,no,1108,Yes,3946308,,I
Operation,1908,14619102803979376,May 22,,,,,,no,1109,Yes,3947565,,I
Operation,1908,14619102803979331,,,,,,,no,1091,Yes,3868749,,I
Operation,1908,14619102803979333,,,,,,,no,1091,Yes,3869100,,I
Operation,1908,14619102803979335,December 20,March 1,,,,,no,1094,Yes,3882217,,I
Operation,1908,14619102803979337,,,,,,,no,1095,Yes,3890024,,I
Operation,1908,14619102803979322,,,,,,,no,1089,Yes,3856979,,I
Operation,1908,14619102803979324,,,,,,,no,1089,Yes,3857073,,I
Operation,1908,14619102803979326,,,,,,,no,1089,Yes,3860035,,I
Operation,1908,14619102803979329,,,,,,,no,1091,Yes,3867867,,I
Operation,1908,14619102803979348,,,,,,,no,1100,Yes,3909788,,I
Operation,1908,14619102803979350,,,,,,,no,1101,Yes,3915579,,I
Operation,1908,14619102803978738,,,,,,,no,49,No,166497,,I
Operation,1908,14619102803979352,,,,,,,no,1102,Yes,3918697,,I
Operation,1908,14619102803979339,October 4,,,,,,no,1097,Yes,3897764,,I
Operation,1908,14619102803978732,,,,,,,no,27,No,93913,,I
Operation,1908,14619102803979341,,,,,,,no,1098,Yes,3901889,,I
Operation,1908,14619102803978734,,,,,,,no,83,No,114202,,I
Operation,1908,14619102803979343,May 22,,,,,,no,1099,Yes,3906606,,I
Operation,1908,14619102803979345,,,,,,,no,1099,Yes,3906828,,I
Operation,1908,14619102803979426,,,,,,,no,1182,Yes,4027765,,I
Operation,1908,14619102803979428,,,,,,,no,1133,Yes,4028672,,I
Operation,1908,14619102803979430,,,,,,,no,1137,Yes,4062988,,I
Operation,1908,14619102803979432,"December 12, 1907","December 12, 1907",,,,,no,1137,Yes,4063353,,I
Operation,1908,14619102803979418,,,,,,,no,1128,Yes,4012171,,I
Operation,1908,14619102803979420,"March 24, 1908","March 24, 1908",,,,,no,1129,Yes,4016755,,I
Operation,1908,14619102803979422,,,,,,,no,1129,Yes,4017121,,I
Operation,1908,14619102803979424,,,,,,"$450,000",no,1130,Yes,4021208,,I
Operation,1908,14619102803979442,,,,,,,no,1166,Yes,4163147,,I
Operation,1908,14619102803979444,,,,,,,no,1169,Yes,4170700,,I
Operation,1908,14619102803979446,,,,,,,no,1170,Yes,4178440,,I
Operation,1908,14619102803979448,"June 27, 1908",,,,,,no,1171,Yes,4180129,,I
Operation,1908,14619102803979440,"September 4, 1907","September 4, 1907",,,,,no,1166,Yes,4161791,,I
Operation,1908,14619102803979396,"June 2, 1908",,,,,,no,1114,Yes,3971209,,I
Operation,1908,14619102803979398,,,,,,,no,1116,Yes,3976264,,I
Operation,1908,14619102803979400,,,,,,,no,1116,Yes,3976738,,I
Operation,1908,14619102803979386,,,,,,,no,1113,Yes,3966602,,I
Operation,1908,14619102803979388,,,,,,,no,1114,Yes,3969287,,I
Operation,1908,14619102803979390,,,,,,,no,1114,Yes,3969690,,I
Operation,1908,14619102803979392,,,,,,,no,1114,Yes,3969775,,I
Operation,1908,14619102803979410,,,,,,,no,1123,Yes,3995106,,I
Operation,1908,14619102803979412,,,,,,,no,1124,Yes,4000593,,I
Operation,1908,14619102803979414,"May 4, 1908","June 21, 1908",,,,,no,1125,Yes,4004110,,I
Operation,1908,14619102803979402,,,,,,,no,1116,Yes,3977110,,I
Operation,1908,14619102803979404,,,,,,,no,1122,Yes,3993332,,I
Operation,1908,14619102803979688,,,,,,,no,,Yes,3837892,,I
Operation,1908,14619102803979406,"October 2, 1905","May 2, 1908",,,,,no,1123,Yes,3994025,,I
Operation,1908,14619102803979408,,,,,,,no,1123,Yes,3994242,,I
Operation,1908,14619102803978739,,,,,,,no,60,No,202207,,I
Operation,1908,14619102803978743,,"June 30, 1908",,,,"$2,717,284.87",no,60,No,203788,,I
Operation,1908,14619102803978731,,,,,,,no,27,No,93935,,I
Operation,1908,14619102803978733,,,,,,,no,83,No,114234,,I
Operation,1908,14619102803978735,,,,,,,no,41,No,138953,,I
Operation,1908,14619102803978737,,,,,,,no,49,No,166536,,I
Operation,1908,14619102803979709,,,,,,,no,1175,Yes,4195429,,I
Operation,1908,14619102803978786,,,,,,,no,163,No,563663,,I
Operation,1908,14619102803978788,,,,,,,no,163,No,563799,,I
Operation,1908,14619102803978790,"December 2, 1903",,,,,,no,165,No,570100,,I
Operation,1908,14619102803978792,,,,,,,no,169,No,583084,,I
Operation,1908,14619102803978778,"August, 1901","August, 1901",,,,,no,161,No,555016,,I
Operation,1908,14619102803979262,,,,,,,no,1046,Yes,3686265,,I
Operation,1908,14619102803978780,,,,,,,no,163,No,562214,,I
Operation,1908,14619102803978782,,,,,,,no,163,No,562546,,I
Operation,1908,14619102803978784,"August 28, 1907",,,,,,no,163,No,563251,,I
Operation,1908,14619102803978802,,,,,,,no,175,No,604344,,I
Operation,1908,14619102803978804,"July 19, 1907","October 24, 1907",,,,,no,177,No,612661,,I
Operation,1908,14619102803978806,July 17,,,"August 21, 1907",,,no,179,No,616997,,I
Operation,1908,14619102803978808,,,,,,,no,241,No,835914,,I
Operation,1908,14619102803978794,"May 22, 1908",,,,,,no,170,No,587075,,I
Operation,1908,14619102803978797,"June 27, 1908",,,,,,no,172,No,595166,,I
Operation,1908,14619102803978799,"August 5, 1907",,,"May 15, 1908",,,no,174,No,600094,,I
Operation,1908,14619102803978754,,,,,,,no,156,No,537962,,I
Operation,1908,14619102803978756,,,,,,,no,156,No,538818,,I
Operation,1908,14619102803978758,,,,,,,no,156,No,540128,,I
Operation,1908,14619102803978760,,"July 1, 1908",,,,,no,157,No,541143,,I
Operation,1908,14619102803978746,,,,,,,no,60,No,203959,,I
Operation,1908,14619102803978748,,,,,,,no,60,No,204011,,I
Operation,1908,14619102803978750,,,,,,,no,62,No,210577,,I
Operation,1908,14619102803978752,,,,,,"$1,490,000",no,156,No,537911,,I
Operation,1908,14619102803978770,,,,,,"$40,000",no,157,No,543024,,I
Operation,1908,14619102803978772,,,,,,,no,159,No,549761,,I
Operation,1908,14619102803978774,,,,,,,no,159,No,550458,,I
Operation,1908,14619102803978776,,,,,,,no,159,No,551039,,I
Operation,1908,14619102803978762,,,,,,,no,157,No,541378,,I
Operation,1908,14619102803978764,,,,,,,no,157,No,541529,,I
Operation,1908,14619102803978766,,,,,,,no,157,No,541623,,I
Operation,1908,14619102803978768,,,,,,,no,157,No,541684,,I
Operation,1908,14619102803979618,,,,,,,no,1237,Yes,4441602,,I
Operation,1908,14619102803979620,,,,,,,no,1237,Yes,4442525,,I
Operation,1908,14619102803979622,,,,,,,no,1239,Yes,4450290,,I
Operation,1908,14619102803979624,,,,,,,no,1241,Yes,4458360,,I
Operation,1908,14619102803979610,,,,,,,no,1230,Yes,4415712,,I
Operation,1908,14619102803979612,,,,,,"$6,840.22",no,1232,Yes,4422605,,I
Operation,1908,14619102803979614,,,,,,,no,1232,Yes,4423052,,I
Operation,1908,14619102803979616,,,,,,,no,1234,Yes,4429182,,I
Operation,1908,14619102803979635,,"March 31, 1908",,,,,no,1248,Yes,4464861,,I
Operation,1908,14619102803979638,,,,,,,no,1244,Yes,4466093,,I
Operation,1908,14619102803979640,,,,,,,no,1244,Yes,4466444,,I
Operation,1908,14619102803979627,,,,,,,no,1242,Yes,4460310,,I
Operation,1908,14619102803979630,,July 10,,,,,no,1242,Yes,4461126,,I
Operation,1908,14619102803979633,,,,,,,no,1248,Yes,4463293,,I
Operation,1908,14619102803979586,,,,,,,no,1215,Yes,4356008,,I
Operation,1908,14619102803979588,,,,,,,no,1217,Yes,4360312,,I
Operation,1908,14619102803979590,,,,,,,no,1221,Yes,4378375,,I
Operation,1908,14619102803979592,,,,,,,no,1221,Yes,4378473,,I
Operation,1908,14619102803979578,,,,,,$1.475,no,1215,Yes,4354000,,I
Operation,1908,14619102803979580,,,,,,$1.45,no,1215,Yes,4354196,,I
Operation,1908,14619102803979582,,,,,,,no,1215,Yes,4354918,,I
Operation,1908,14619102803979584,,,,,,,no,1215,Yes,4355066,,I
Operation,1908,14619102803979603,,,,,,,no,1226,Yes,4398337,,I
Operation,1908,14619102803979605,,,,,,"$21,699.34",no,1226,Yes,4398660,,I
Operation,1908,14619102803979608,,,,,,,no,1229,Yes,4408909,,I
Operation,1908,14619102803979594,,,,,,,no,1225,Yes,4394856,,I
Operation,1908,14619102803979596,,,,,,,no,1226,Yes,4396075,,I
Operation,1908,14619102803979598,,,,,,,no,1226,Yes,4397213,,I
Operation,1908,14619102803979601,,,,,,,no,1226,Yes,4397458,,I
Operation,1908,14619102803979685,,,,,,,no,,Yes,3327014,,I
Operation,1908,14619102803979687,,,,,,,no,,Yes,3837938,,I
Operation,1908,14619102803979679,,,,,,,no,416,No,1442263,,I
Operation,1908,14619102803979681,,,,,,,no,934,Yes,3256415,,I
Operation,1908,14619102803979699,,,,,,,no,1164,Yes,4155548,,I
Operation,1908,14619102803979695,,,,,,,no,1156,Yes,4122448,,I
Operation,1908,14619102803979697,,,,,,,no,60,Yes,4136877,,I
Operation,1908,14619102803979651,April 7,April 16,,,,,no,,Yes,4470186,,I
Operation,1908,14619102803979653,,,,,,,no,1247,Yes,4477090,,I
Operation,1908,14619102803979655,,,,,,,no,1247,Yes,4478568,,I
Operation,1908,14619102803979421,,,,,,,no,1129,Yes,4016717,,I
Operation,1908,14619102803979642,,,,,,,no,1244,Yes,4467388,,I
Operation,1908,14619102803979423,,,,,,,no,1129,Yes,4017092,,I
Operation,1908,14619102803979644,,,,,,,no,1244,Yes,4467535,,I
Operation,1908,14619102803979647,,,,,,,no,1244,Yes,4467649,,I
Operation,1908,14619102803979649,,,,,,,no,,Yes,4469583,,I
Operation,1908,14619102803979667,,,,,,,no,1247,Yes,4479907,,I
Operation,1908,14619102803979669,,,,,,,no,1247,Yes,4479975,,I
Operation,1908,14619102803979671,,,,,,,no,1247,Yes,4480088,,I
Operation,1908,14619102803979673,,"August, 1907",,,,,no,1249,Yes,4488943,,I
Operation,1908,14619102803979658,,,,,,,no,1247,Yes,4478639,,I
Operation,1908,14619102803979660,,,,,,,no,1247,Yes,4478706,,I
Operation,1908,14619102803979662,,,,,,,no,1247,Yes,4478818,,I
Operation,1908,14619102803979664,,,,,,,no,1247,Yes,4479836,,I
